target,id,date,flag,user,text
0,2058273999,Sat Jun 06 14:36:48 PDT 2009,NO_QUERY,mrs_mcg,@TFA2431 Sorry I disappeared before we could have a real conversation. 
0,2321435313,Wed Jun 24 21:03:08 PDT 2009,NO_QUERY,alaayousef,@jefferymavers you haven't updated in forever! 
0,2188648635,Mon Jun 15 22:17:24 PDT 2009,NO_QUERY,munteng,@chantongcheng i faced the same problem too while trying to install TweetDeck! 
0,2000338897,Mon Jun 01 21:54:17 PDT 2009,NO_QUERY,Brian_Bee,"what's Tea  Gir,, that ass I told u I had line up  fell thru!  ugh 2 month no ass  @_Tye_"
0,2254259100,Sat Jun 20 09:28:25 PDT 2009,NO_QUERY,charcopley,"I only have 5 followers, I want more "
0,1985553498,Sun May 31 17:19:33 PDT 2009,NO_QUERY,fireunderwater,Had a fabulous weekend...I wish it didn't have to end 
0,1964207004,Fri May 29 13:53:06 PDT 2009,NO_QUERY,KRob5858,"Just got home, no rosie surprise of smiles hugs &amp; kisses waiting for me. "
0,1962846243,Fri May 29 11:47:01 PDT 2009,NO_QUERY,divarina21,@twinnadryl   .ï¿½ï¿½?????ï¿½ï¿½.  i bet. man i wish i coulda went some whr. i didn't even go out here. i was home all weekend.  nyt life sux here
0,1932781546,Tue May 26 22:12:20 PDT 2009,NO_QUERY,amygdamit,"@Robviktum I wish i could make it, i take the train from fort worth so i have to stay in the down town/ deep elm area when i come "
0,1977843875,Sat May 30 21:50:16 PDT 2009,NO_QUERY,NKOTB_Fan77,"@JonathanRKnight I`m so sad, that you didn`t answerd up to now  Please give me a sign (DM) if you have seen this video and my question..."
0,2014469424,Wed Jun 03 01:38:06 PDT 2009,NO_QUERY,leehuiyen,"Dr took my weight today and told me that I am 44 kg, then I ask her &quot;Explain why I look so F.A.T, if thats the case?&quot; "
0,1978796161,Sun May 31 00:30:01 PDT 2009,NO_QUERY,archiesangel93,im being depressed cuz i could audition for american idol if i was 8 days older. 
0,2243287436,Fri Jun 19 13:15:29 PDT 2009,NO_QUERY,princess_honda,i cant believe nadal is not playing in wimbeldon .. this might cost him the no.1 .. am diein here 
0,1992160958,Mon Jun 01 08:18:16 PDT 2009,NO_QUERY,katiepaterson,Man I need to get better at tweeting during the weekend 
0,2284960607,Mon Jun 22 14:31:54 PDT 2009,NO_QUERY,SebBeaubois,Doc orders for me to stay home for the next 2 days  but that does mean I get to stay home for 2 days! )
0,1981435881,Sun May 31 09:08:57 PDT 2009,NO_QUERY,skimmylou,"I hate waking up.  if i could, i would sleep forever. Lol"
0,2297428514,Tue Jun 23 10:25:48 PDT 2009,NO_QUERY,HahBOOM,@babygirlparis i want to be there with you  xx
0,1984623994,Sun May 31 15:28:37 PDT 2009,NO_QUERY,carissax0x0,nicole left me so that she could get rubios  this is tragic.
0,1759536808,Sun May 10 19:25:54 PDT 2009,NO_QUERY,nin_flamzors,I ate too much toast and now I'm sick 
0,2203121221,Tue Jun 16 23:04:18 PDT 2009,NO_QUERY,endlessoul,@linkinchick123 I hit a squirrel once. Felt bad too. 
0,2192446574,Tue Jun 16 07:03:03 PDT 2009,NO_QUERY,baneen,"@clare666 ah damn, I wish I'd know about this before, I didnt put my name down "
0,2251299220,Sat Jun 20 03:03:33 PDT 2009,NO_QUERY,Kazcita,@edwardclarke EXACTLY! How depressing 
0,2001459642,Tue Jun 02 00:57:32 PDT 2009,NO_QUERY,R_E_N_Music,cant sleep and dunno why 
0,2323408055,Thu Jun 25 00:34:32 PDT 2009,NO_QUERY,peebeeandjay,@anieszkaa i couldnt move this morning. i was in so much pain  you know how i didnt have the energy to do anything yesterday? yeah it just
0,2327263025,Thu Jun 25 08:07:30 PDT 2009,NO_QUERY,troyredington,"all this delivery hassle this morning and they send me the wrong motherflipping tv  c'mon newegg, you can do better than this."
0,2014113777,Wed Jun 03 00:30:07 PDT 2009,NO_QUERY,KellyStieglitz,can't sleep.... sooo I'm doing a little packing. 5 more days til I move 
0,2216042154,Wed Jun 17 18:57:50 PDT 2009,NO_QUERY,DearElena,he was supposed to call me thirty minutes ago. he promised. 
0,1574103158,Tue Apr 21 04:15:30 PDT 2009,NO_QUERY,mattybeard,I'm already struggling having no iPhone 
0,2198371344,Tue Jun 16 15:59:14 PDT 2009,NO_QUERY,snaptheapple, skul sucked ass today! the class felt empty!!! 
0,1999867848,Mon Jun 01 20:58:16 PDT 2009,NO_QUERY,peterckspan,"@DawnYang1 Anyway,I don't know what went wrong,Fay has disconnected from me... "
0,2051390712,Fri Jun 05 21:53:39 PDT 2009,NO_QUERY,iamericaleigh,@halfaheart i just wish they didn't take 40 min. to bake 
0,2247232000,Fri Jun 19 18:47:16 PDT 2009,NO_QUERY,TangAnChi,I miss Coco and Cherry! They were the cutest pets I ever had! 
0,1981383716,Sun May 31 09:02:17 PDT 2009,NO_QUERY,chocomeow,off to bed now. goodnite! ps. monday morning's suck! 
0,2050204441,Fri Jun 05 18:15:13 PDT 2009,NO_QUERY,hollyhalvorsen,@BreRadoSunrise fuck thts sucks!! i had a ride. but he decided playen vball @ the park was imp! i wanted to see Bidwell tonight too 
0,1976992144,Sat May 30 19:48:22 PDT 2009,NO_QUERY,MichaelFortney,The One Thing Hawk Has Left...JASON! Where Is Everyone Else?  - http://bnup2.com/p/570132
0,1565039776,Mon Apr 20 05:43:28 PDT 2009,NO_QUERY,khouryrt,"@Modser I'll do so this week, now i'm stuck at the lab trying to get back to my adult life, and missing my pooh pillow "
0,2213434826,Wed Jun 17 15:22:09 PDT 2009,NO_QUERY,Lesley_M,just popping in to say hello... in twidget! SO small.... can hardly see ya.... 
0,1557268014,Sun Apr 19 03:02:13 PDT 2009,NO_QUERY,williewox,@mistertroy 1000?  How long have you been on here?!  I've only made 31 in about a month 
0,2227701479,Thu Jun 18 13:31:33 PDT 2009,NO_QUERY,asomyak,@sweetestofdekes I don't think the arizona distributor has hit up the cvs in awhile. I had to buy my own ingredients to make it. 
0,1972561943,Sat May 30 09:27:30 PDT 2009,NO_QUERY,ZoeLucas92,"has spent the day in the sun and is now a little burnt, its weird though cause my right hand side is more burnt than the left  x"
0,2014732874,Wed Jun 03 02:30:22 PDT 2009,NO_QUERY,MissLyssBetch,PM to your last PM kos 
0,2214767811,Wed Jun 17 17:12:20 PDT 2009,NO_QUERY,tktino,"@jesper_wallin thanks. here in the states, we are missing mms "
0,1686136571,Sun May 03 03:57:16 PDT 2009,NO_QUERY,meganwilder,"Who serves coffee @ 6am on a Sunday in Sleasley, SC...? "
0,2202019347,Tue Jun 16 21:07:04 PDT 2009,NO_QUERY,RaeDil,@StephS007 I wish the LSs wouldve invited me 
0,2072351573,Sun Jun 07 20:51:38 PDT 2009,NO_QUERY,thefrontbooty,@beezobabii sorry  hope things get better soon
0,2282244324,Mon Jun 22 11:07:23 PDT 2009,NO_QUERY,infatuatedgabby,sorry deejj they're gone  lol
0,1960814657,Fri May 29 08:32:46 PDT 2009,NO_QUERY,mginn82,@thinkgeek curses upon the ridiculously slow internetz at work!  The dang image just now loaded...  
0,1835758757,Mon May 18 06:41:28 PDT 2009,NO_QUERY,portaprince,"Wat a nite....I was so faded, I feel asleep on my date  bout it"
0,2177367994,Mon Jun 15 05:59:03 PDT 2009,NO_QUERY,BonnieBrown,@DarkPiano  I'll be thinking about you today.
0,1985842344,Sun May 31 17:52:33 PDT 2009,NO_QUERY,minxkitty,"Time for bed and home tomorrow  But had a great day; message made me happy, saw my family, had time with baby Daisy, lovely sunshine "
